Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-06-07,243.5358114445,246.1550865716,249.6906583267,198.8965083179
ETH,2019-06-08,250.9237807026,243.5257541354,254.2408274011,171.8649292171
ETH,2019-06-09,245.1594274535,250.9237245858,251.9029195749,188.9174314255
ETH,2019-06-10,229.507045803,244.337662976,245.1938418528,184.8904299066
ETH,2019-06-11,245.6023534252,229.5109983415,248.8662286248,170.4118677264
ETH,2019-06-12,257.0824435563,245.5892971941,260.1928110673,187.7823567468
ETH,2019-06-13,255.8128945716,262.4475639364,263.972121018,194.6956137005
ETH,2019-06-15,268.8329563868,255.796484994,273.3375335438,177.9932101538
ETH,2019-06-16,270.7520786339,268.838734965,278.8355813711,207.9707536504
ETH,2019-06-17,273.8801723339,270.7634289315,274.9991089154,267.553952372
ETH,2019-06-19,263.1083721665,273.9480765191,274.3078433466,261.3101545167
ETH,2019-06-20,271.8312144504,263.0697805693,274.2616507445,176.3933054764
ETH,2019-06-21,291.9443651163,271.841026782,295.189669206,247.9209067617
ETH,2019-06-22,302.0057950053,295.9257522991,315.1010619879,293.0506112326
ETH,2019-06-23,308.2046756187,301.9969434143,319.0247986214,301.9419032672
ETH,2019-06-25,316.2122784377,308.2244554592,316.4377843826,222.1409539561
ETH,2019-06-26,324.1308552907,316.2487083708,363.0531638804,314.1520308878
ETH,2019-06-28,296.1115558742,324.1522871853,342.9652397066,274.579391598
ETH,2019-06-29,314.0469441041,296.0943987475,314.3642121439,289.6351824544
ETH,2019-06-30,293.5303668714,314.0430714057,323.437760416,288.3884114973
ETH,2019-07-02,289.4528415487,293.5804697689,301.5106444968,279.0722498113
ETH,2019-07-03,291.447247814,289.4603018591,296.4545035825,271.7342248146
ETH,2019-07-04,301.4034854223,290.8884028843,301.921787863,289.2267636008
ETH,2019-07-05,288.0914835903,301.3994332354,303.5310501347,280.1610757227
ETH,2019-07-07,305.7988738872,288.0669655371,310.9137476163,284.6029071816
ETH,2019-07-08,313.7779112419,305.8018717991,314.0525399412,302.1802773712
ETH,2019-07-10,307.7689028778,313.7816513504,318.0989307004,303.436711322
ETH,2019-07-11,267.7342737532,308.34462943,314.500138178,262.2146590974
ETH,2019-07-13,267.2689248091,267.7391334504,278.9355042484,262.260216308
ETH,2019-07-14,236.8879113999,269.5569638784,270.0059582938,230.1213864345
ETH,2019-07-15,233.0681670622,236.8410261085,236.852317087,203.8575386018
ETH,2019-07-17,200.2220044059,233.0758189736,234.7755554444,190.9829445495
ETH,2019-07-18,212.2264798064,200.2471555893,219.7023791642,192.4903855176
ETH,2019-07-19,219.6537523526,211.0360477935,230.0290444241,206.3666627537
ETH,2019-07-21,225.087773767,221.0188231329,235.7427034061,217.4643023669
ETH,2019-07-23,215.5549594853,225.0844931317,228.5309067492,208.5010151329
ETH,2019-07-24,215.0665579651,212.432693047,218.0273930012,201.3905447493
ETH,2019-07-25,219.6820637044,215.0805309662,225.5042289111,214.8451667165
ETH,2019-07-27,217.9143663032,219.6669342215,220.4622073551,212.8870365048
ETH,2019-07-28,207.3703542487,217.9173500876,223.8310754298,198.1438393257
ETH,2019-07-29,211.6551176583,211.384044004,215.0349629443,206.4738275903
ETH,2019-07-31,216.0859269916,211.6403353471,218.0994618463,204.8359459109
ETH,2019-08-01,217.3123969246,216.0811054653,219.295242131,210.7865769552
ETH,2019-08-02,217.5168015503,217.3149634413,222.626643449,214.9062997638
ETH,2019-08-03,222.1538140516,217.5083335322,224.345801222,216.8259947829
ETH,2019-08-04,222.5023178606,222.1758346584,223.5262997082,217.5653394229
ETH,2019-08-05,233.0314055504,222.521763569,236.5009297095,222.0768085993
ETH,2019-08-06,224.5440762664,233.0398843787,239.2475789687,222.8415379444
ETH,2019-08-07,225.684468426,224.5519475244,230.9854118357,220.9042766092
ETH,2019-08-09,209.1745627817,225.6607662241,226.6140001779,206.5950704656
ETH,2019-08-11,205.9151551672,209.1752908943,214.3848177007,201.6468837161
ETH,2019-08-12,211.3484238007,206.0072575842,216.6276583554,205.6597807069
ETH,2019-08-13,206.996167465,211.3496170933,211.3618795117,203.4689061941
ETH,2019-08-14,189.6876230143,208.7236345427,208.9678049247,181.9398752579
ETH,2019-08-16,187.9278393382,189.6936324652,189.9109917715,180.0358101033
ETH,2019-08-17,186.3736191253,188.1461934795,188.1461934795,178.3066535946
ETH,2019-08-18,194.7744371187,185.6367732806,197.9024857431,183.3606365382
ETH,2019-08-20,198.1378701693,194.7750046647,203.530310613,193.0932168344
ETH,2019-08-21,184.8960217518,198.1406677926,198.2963583724,180.5554796135
ETH,2019-08-23,193.9669058738,184.8933108786,196.3663187793,182.8136615152
ETH,2019-08-25,186.1119314503,194.0346256867,194.2765906992,183.1354369181
ETH,2019-08-26,188.0709594489,186.8025597743,194.0876921793,185.8345895415
ETH,2019-08-28,174.059016341,188.0587573976,189.1812179692,166.3943473871
ETH,2019-08-29,168.9614619692,174.0616853228,174.0883113206,163.9105753218
ETH,2019-08-30,168.6898906234,168.9515701676,170.3022488962,165.7575073259
ETH,2019-08-31,172.8455753702,168.5187352739,174.9729731023,166.0265663214
ETH,2019-09-01,172.0143992107,172.826160257,173.5498796462,168.1103539739
ETH,2019-09-03,180.3972338053,172.021334776,183.0464879759,170.5520436806
ETH,2019-09-04,174.3697252053,180.3998343684,180.703478003,173.4475722367
ETH,2019-09-05,174.9847094505,174.3779947508,175.5946977666,169.7753623021
ETH,2019-09-06,169.1709224623,174.998372023,178.328507888,165.4529089527
ETH,2019-09-07,178.645235159,169.1518812618,181.02045326,168.7406680728
ETH,2019-09-08,181.4454540023,178.2157072561,184.288189458,177.1594462707
ETH,2019-09-09,182.2717700833,181.4413664128,185.454033352,176.2742855079
ETH,2019-09-10,179.4033828685,182.2687223568,184.5444279023,176.9742999851
ETH,2019-09-11,178.3436658993,179.9270524235,182.5128769522,174.4060047173
ETH,2019-09-12,181.2873035665,178.3473136473,182.5456220746,176.8659888438
ETH,2019-09-14,187.4962298211,181.2892050893,188.6503457173,177.8017548907
ETH,2019-09-16,197.7618966425,188.6049836937,199.7446388264,186.1629628079
ETH,2019-09-17,211.8446526245,197.7609893095,215.1567034564,196.4356547562
ETH,2019-09-19,220.4508762286,211.8258499684,224.0578836109,202.4375991955
ETH,2019-09-20,214.5472068317,220.4685404761,222.9280726951,212.2803286085
ETH,2019-09-22,215.6904162106,214.5594235995,221.3215019203,213.6352797149
ETH,2019-09-23,201.7345164348,215.6898085865,216.4274729573,198.7209498634
ETH,2019-09-24,168.9992628285,201.7106798027,202.7948100303,153.5773183352
ETH,2019-09-25,169.9438201808,166.4584064831,175.2361698107,162.3989671108
ETH,2019-09-27,172.7389316275,169.9462634949,177.1355994737,152.7922749888
ETH,2019-09-28,172.9975519826,174.0520062107,175.5296414744,168.5297636864
ETH,2019-09-29,171.0073196817,172.9944184423,174.6299600264,164.6522820295
ETH,2019-09-30,177.9168791987,169.4650463295,180.7383956682,165.5019503921
ETH,2019-10-01,176.9313025671,181.1987394304,185.5531425202,173.9327108729
ETH,2019-10-02,178.612262899,176.9355935779,179.2120178119,174.3922358868
ETH,2019-10-04,175.1317829483,178.61447317,181.423930089,169.9848043747
ETH,2019-10-05,176.0604430049,175.0228573538,179.0944323154,171.2040496556
ETH,2019-10-06,169.4697137162,176.5445171112,177.0911150888,168.1019019064
ETH,2019-10-08,181.4028512955,169.4751613668,182.530127763,168.6814466764
ETH,2019-10-09,193.151232685,181.4028352124,194.6156620796,177.5541288448
ETH,2019-10-10,192.198199247,193.1521878248,195.7089690343,187.0135686303
ETH,2019-10-11,181.0085295243,192.1985797807,196.9808386167,179.6352638613
ETH,2019-10-12,180.7913299807,181.0120341547,184.5822470687,177.8028309226
ETH,2019-10-13,181.5366658398,179.8019772486,184.5515804,178.7876886027
ETH,2019-10-14,186.123827056,181.5367926783,187.5599757495,180.4860190989
ETH,2019-10-16,174.7540831526,180.5031229769,181.2679391283,171.8682058198
ETH,2019-10-18,176.3901046425,174.754194627,178.9594704902,172.796886507
ETH,2019-10-19,171.1585128402,176.3914357805,177.2022734709,168.7672567184
ETH,2019-10-20,174.6693846894,171.1615027168,176.5968296114,169.4636790322
ETH,2019-10-21,173.7658273815,175.1423785872,177.6712917158,171.8260005516
ETH,2019-10-23,159.5431046304,173.7639581081,175.2730854426,153.3632515025
ETH,2019-10-25,161.0687513033,159.5283559156,163.749360381,158.9530045613
ETH,2019-10-26,179.9804506089,160.4766970956,187.5246291896,160.437827857
ETH,2019-10-27,184.9332868639,179.9785938354,197.8758978062,174.0566950798
ETH,2019-10-28,183.9328015641,184.9408817508,189.8001354711,180.7852768846
ETH,2019-10-29,192.3885043623,181.9923264158,192.8824666102,181.5986432951
ETH,2019-10-30,183.3652157781,192.3960443291,192.5929548786,180.1672521219
ETH,2019-10-31,181.5668036255,183.3729921191,185.2490925958,177.9502359694
ETH,2019-11-01,182.873979546,181.5678529173,184.600407325,177.6418123086
ETH,2019-11-02,182.8533039537,183.0484886922,185.5946073004,181.8530859582
ETH,2019-11-03,182.2438145131,182.8529696817,184.8237730087,179.1527610841
ETH,2019-11-04,185.3686817257,182.245439942,188.4429224346,180.4331643837
ETH,2019-11-05,188.8571937095,185.974435819,192.2945771883,182.6067912716
ETH,2019-11-06,191.0586073424,188.854812011,194.5981294983,187.9802996824
ETH,2019-11-07,187.0749396053,191.0565461602,192.1825384476,184.599135255
ETH,2019-11-08,184.4694666775,186.5114333645,188.0422281657,180.981215341
ETH,2019-11-09,185.1915991945,184.4704385404,185.6216232395,182.4951389114
ETH,2019-11-10,189.7227332618,185.1912962638,191.3733014377,183.2634617811
ETH,2019-11-11,185.3595169522,189.7216904786,190.0451626625,184.6442021819
ETH,2019-11-12,186.3251476172,185.3596158039,187.1059620068,182.1945967687
ETH,2019-11-13,187.2511139834,186.3258675955,189.2966120272,185.1390974421
ETH,2019-11-14,184.8074617077,187.80498324,188.3566912825,182.8920146705
ETH,2019-11-15,180.72497196,184.8075113077,186.2298714871,176.9691395995
ETH,2019-11-16,182.1067434198,180.7248229529,183.2523007922,179.1478943884
ETH,2019-11-17,184.1921419583,182.1067434829,186.156566048,180.0385563802
ETH,2019-11-18,178.4221816961,183.7882612011,183.870160096,174.6960152194
ETH,2019-11-19,175.5936935158,178.4223411575,178.4223411575,172.4956581721
ETH,2019-11-20,174.7796503518,175.6027918108,177.265818403,173.3506038457
ETH,2019-11-21,160.5179612026,174.7790948786,175.5398950382,156.4895342332
ETH,2019-11-22,149.5245321915,160.8533428713,162.5769374195,138.0537491882
ETH,2019-11-23,152.1362450315,149.5208627594,154.3257125714,146.3886015228
ETH,2019-11-24,144.3152880154,152.1385142954,152.9254107626,141.5578155985
ETH,2019-11-25,146.9818121723,140.2001010314,151.5314412367,131.7921090308
ETH,2019-11-26,148.006881793,146.9829430816,149.89633943,143.6151983548
ETH,2019-11-27,152.9572770475,148.0063944464,155.8367428318,140.9610081664
ETH,2019-11-28,150.4119794112,152.955144939,154.6622731365,149.7748853818
ETH,2019-11-29,153.673809539,150.4199245175,157.5477217678,149.3600870725
ETH,2019-11-30,151.6554239752,154.6333548445,155.3667352758,149.9045477323
ETH,2019-12-01,151.5529038097,151.6561540342,152.3992989132,145.9724105299
ETH,2019-12-02,149.4546546609,151.5531083148,152.1395962134,146.6868255518
ETH,2019-12-03,147.8113219421,149.0437652809,150.0229822617,145.83763867
ETH,2019-12-04,145.6033385587,147.8090196157,152.1782860761,143.3107348292
ETH,2019-12-05,147.8270036017,145.6036024282,148.8058075217,143.9984883559
ETH,2019-12-06,148.6504041144,148.0544192698,149.5198340363,145.7474845335
ETH,2019-12-07,147.8712516108,148.6506468314,149.5848527936,147.1227833161
ETH,2019-12-08,151.4106799451,147.8742814905,151.8453650178,146.4545058189
ETH,2019-12-09,147.1595338869,151.410626331,151.5515994775,146.6904023237
ETH,2019-12-10,145.7973190251,147.1614170799,148.1517289078,143.8551975824
ETH,2019-12-11,143.010804403,145.8002271455,146.307541141,142.0593823215
ETH,2019-12-12,144.5101036807,143.252226693,145.8505416904,139.279416513
ETH,2019-12-13,144.4855855195,144.6912933383,145.1629101298,142.7873856528
ETH,2019-12-14,142.0555393225,144.4855282641,145.0437269489,141.1641794375
ETH,2019-12-15,142.6819305388,142.0554433732,143.9031341532,139.8372895545
ETH,2019-12-16,132.3435787088,142.6814883866,142.681873152,129.2556709774
ETH,2019-12-17,120.879816225,132.3441022475,132.7613214618,120.4019446118
ETH,2019-12-18,133.8778331329,120.8795881985,134.2879356912,116.2571391386
ETH,2019-12-19,127.2736814053,132.9349405444,133.9879328326,125.7528612447
ETH,2019-12-20,127.3752754888,127.2735675323,128.5234324515,125.8308868059
ETH,2019-12-21,129.8708364029,127.6401608573,130.2112713936,126.6059016578
ETH,2019-12-22,128.9106173166,129.8707266492,131.4355915069,126.5881079787
ETH,2019-12-23,125.0138243959,128.9104737729,131.6841221571,123.9703664689
ETH,2019-12-24,128.0056504074,125.0129590812,128.3185995413,124.0074715855
ETH,2019-12-25,125.3335415778,128.0088700676,128.1732247557,123.2950005379
ETH,2019-12-26,125.2582992782,125.3333204048,132.0670079983,123.3816559468
ETH,2019-12-27,126.149213913,125.2563447939,126.6638832297,122.1867207586
ETH,2019-12-28,128.0111453111,126.1493765257,129.3741249045,125.7484878254
ETH,2019-12-29,134.7680350143,128.0113804058,137.8062787115,127.2727016731
ETH,2019-12-30,132.0730737137,134.2790970367,136.0115698803,130.0177845802
ETH,2019-12-31,128.7226035036,132.1265273155,133.4051840668,127.846576584
ETH,2020-01-01,129.8873633242,128.7216212353,132.6791742547,128.270383906
ETH,2020-01-02,127.0556008747,129.8863430809,130.6324406641,126.1302468569
ETH,2020-01-03,132.9708331543,127.0556008747,134.6841515877,125.4814193736
ETH,2020-01-04,133.8206207495,132.9703016886,135.5848146327,132.3263510971
ETH,2020-01-05,134.8342522004,133.8167911464,138.1953580425,133.5430080138
ETH,2020-01-06,143.1316009393,135.2739361935,143.5312380421,134.741075174
ETH,2020-01-07,142.133414011,143.1324736319,145.3194577462,138.9961843024
ETH,2020-01-08,140.3393936759,142.1874732484,147.8878585617,137.0702811602
ETH,2020-01-09,137.4949989813,140.5102540496,141.3850517365,135.4280273673
ETH,2020-01-10,142.8347833627,137.4955700047,145.1033112786,135.2747290424
ETH,2020-01-11,143.0715916414,144.8464765369,147.8492529133,142.0189513739
ETH,2020-01-12,145.2809936515,143.0715231225,145.7229897092,141.7851073239
ETH,2020-01-13,143.9369170091,145.3010869285,146.9424926044,142.1317501882
ETH,2020-01-14,163.8546314577,143.5929432203,170.7564251758,143.5882635704
ETH,2020-01-15,166.5383398703,163.8406103648,171.6563009014,158.8671804523
ETH,2020-01-16,163.9372081347,166.3027404324,167.217221392,158.1935887276
ETH,2020-01-17,171.5889767813,163.937012032,174.077917304,161.993060011
ETH,2020-01-18,176.7004339689,171.5958831713,179.1611162983,164.9857579834
ETH,2020-01-19,166.0633101409,176.6578850177,177.8974233599,161.6662374274
ETH,2020-01-20,167.5725368448,166.0631809193,169.2062998749,161.0670262194
ETH,2020-01-21,169.0544916457,167.3736339618,169.9529092157,164.1286409364
ETH,2020-01-22,167.1518344609,169.0544205089,171.1612131665,165.682081616
ETH,2020-01-23,162.6714166963,167.1518145691,167.82455463,158.8187964204
ETH,2020-01-24,162.8065223703,162.3679148834,164.2163653709,155.2544170724
ETH,2020-01-25,160.9178681144,162.8065025247,163.7269775155,157.3198028334
